method,real_path,raw_pattern,normalized_pattern,definition_file,definition_line,usage_count,usage_files,triage
GET,/rest/project/a/:param/application/get,${APPLICATION_URL(options.appId)}/get,${APPLICATION_URL(options.appId)}/get,src/service/Api/Application/index.ts,25,1,src/service/Api/Application/index.ts,
GET,/rest/project/a/:param/releasePlan/selection,${PROJECT_APP_URL(props.appId)}/releasePlan/selection,${PROJECT_APP_URL(props.appId)}/releasePlan/selection,src/components/Api/Edition/Edit/EditSelect.ts,128,1,src/components/Api/Edition/Edit/EditSelect.ts,
GET,/rest/project/p/:param/project/getProject,/rest/project/p/${results.pid}/project/getProject,rest/project/p/:results.pid/project/getProject,src/service/Api/Application/index.ts,27,1,src/service/Api/Application/index.ts,
GET,/rest/quality/a/:param/api/edition,${scoped(options.appId)}/api/edition,${scoped(options.appId)}/api/edition,src/service/Api/Edition/index.ts,49,2,src/service/Api/Edition/index.ts,
GET,/rest/quality/a/:param/api/env/setting/allVariables,${ENV_URL(aid)}/allVariables,${ENV_URL(aid)}/allVariables,src/service/Api/Env/index.ts,61,1,src/service/Api/Env/index.ts,
GET,/rest/quality/a/:param/api/env/setting/get,${ENV_URL(aid)}/get,${ENV_URL(aid)}/get,src/service/Api/Env/index.ts,51,1,src/service/Api/Env/index.ts,
GET,/rest/quality/a/:param/api/report/getTempUrl,${QUALITY_URL(appId)}/api/report/getTempUrl,${QUALITY_URL(appId)}/api/report/getTempUrl,src/service/Api/TestScenarioExecute/index.ts,120,1,src/service/Api/TestScenarioExecute/index.ts,
GET,/rest/quality/a/:param/api/report/http/get,${scope(options.appId)}/http/get,${scope(options.appId)}/http/get,src/service/Api/TestScenarioReport/index.ts,91,1,src/service/Api/TestScenarioReport/index.ts,
GET,/rest/quality/a/:param/api/scenario/:param,"${scope(options.appId)}/${expect === ""scenario"" ? ""changeToScenario"" : ""changeToStepSet""}","${scope(options.appId)}/${expect === ""scenario"" ? ""changeToScenario"" : ""changeToStepSet""}",src/service/Api/TestScenarioGroup/index.ts,125,1,src/service/Api/TestScenarioGroup/index.ts,
GET,/rest/quality/a/:param/api/scenario/:param/nameless/steps,${scope(options.appId)}/api/scenario/${options.ref}/nameless/steps,${scope(options.appId)}/api/scenario/${options.ref}/nameless/steps,src/service/Api/TestScenario/step.ts,61,1,src/service/Api/TestScenario/step.ts,
GET,/rest/quality/a/:param/api/scenario/:param/runtimeSetting,${scope(option.appId)}/${option.scenarioId}/runtimeSetting,${scope(option.appId)}/:option.scenarioId/runtimeSetting,src/service/Api/TestScenario/runtimeSetting.ts,29,1,src/service/Api/TestScenario/runtimeSetting.ts,
GET,/rest/quality/a/:param/api/scenario/:param/snapshot,${scope(option.appId)}/${option.scenarioId}/snapshot,${scope(option.appId)}/:option.scenarioId/snapshot,src/service/Api/TestScenario/snapshot.ts,26,1,src/service/Api/TestScenario/snapshot.ts,
GET,/rest/quality/a/:param/api/scenario/:param/step/:param,${scope(options.appId)}/api/scenario/${options.scenarioId}/step/${options.stepId},${scope(options.appId)}/api/scenario/:options.scenarioId/step/:options.stepId,src/service/Api/TestScenario/detail.ts,75,2,src/service/Api/TestScenario/detail.ts src/service/Api/TestScenario/step.ts,
GET,/rest/quality/a/:param/api/scenario/changeToScenarioCheck,${scope(options.appId)}/changeToScenarioCheck,${scope(options.appId)}/changeToScenarioCheck,src/service/Api/TestScenarioGroup/index.ts,135,1,src/service/Api/TestScenarioGroup/index.ts,
GET,/rest/quality/a/:param/api/scenario/get,${scope(options.appId)}/api/scenario/get,${scope(options.appId)}/api/scenario/get,src/service/Api/TestScenario/detail.ts,38,2,src/service/Api/TestScenario/detail.ts src/service/Api/TestScenario/index.ts,
GET,/rest/quality/a/:param/api/scenario/group/:param,${scope(options.appId)}/api/scenario/group/${state.id},${scope(options.appId)}/api/scenario/group/:state.id,src/service/Api/TimedTask/index.ts,36,1,src/service/Api/TimedTask/index.ts,
