method,real_path,raw_pattern,definition,usage_count,usage_files
POST,/rest/quality/a/{appId}/apiDefinition/getShareToCurrentSysApi,${URL(aid)}/getShareToCurrentSysApi,src/service/Api/ApiDefinition/index.ts:212,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/getShareToOtherSysApi,${URL(aid)}/getShareToOtherSysApi,src/service/Api/ApiDefinition/index.ts:200,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/mock/list,${URL(aid)}/mock/list,src/service/Api/ApiDefinition/index.ts:66,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/mock/save,${URL(aid)}/mock/save,src/service/Api/ApiDefinition/index.ts:92,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/mock/script/get,${URL(aid)}/mock/script/get,src/service/Api/ApiDefinition/index.ts:151,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/mock/script/save,${URL(aid)}/mock/script/save,src/service/Api/ApiDefinition/index.ts:141,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/scenarios ,${URL(aid)}/scenarios ,src/service/Api/ApiDefinition/index.ts:247,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/search,${URL(aid)}/search,src/service/Api/ApiDefinition/index.ts:12,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/statisticsSystemApi,${URL(aid)}/statisticsSystemApi,src/service/Api/ApiDefinition/index.ts:207,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiDefinition/updateEdition,${URL(aid)}/updateEdition,src/service/Api/ApiDefinition/index.ts:238,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/apiGroup/addGroup,${URL(aid)}/addGroup,src/service/Api/ApiGroup/index.ts:51,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/apiTree,${URL(aid)}/apiTree,src/service/Api/ApiGroup/index.ts:22,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/getLocalShareConfig,${URL(aid)}/getLocalShareConfig,src/service/Api/ApiGroup/index.ts:197,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/getModel,${URL(aid)}/getModel,src/service/Api/ApiGroup/index.ts:173,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/getProcessors,${URL(aid)}/getProcessors,src/service/Api/ApiGroup/index.ts:145,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/importApiDefinition,${URL(aid)}/importApiDefinition,src/service/Api/ApiGroup/index.ts:100,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/modelTree,${URL(aid)}/modelTree,src/service/Api/ApiGroup/index.ts:163,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/models,${URL(aid)}/models,src/service/Api/ApiGroup/index.ts:109,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/apiGroup/uniqueSetting,${URL(aid)}/uniqueSetting,src/service/Api/ApiGroup/index.ts:222,1,src/service/Api/ApiGroup/index.ts
POST,/rest/quality/a/{appId}/testEnvironment/create,${TEST_ENVIRONMENT_URL(aid)}/create,src/service/Api/Env/index.ts:72,1,src/service/Api/Env/index.ts
POST,/rest/quality/a/{appId}/testEnvironment/edit,${TEST_ENVIRONMENT_URL(aid)}/edit,src/service/Api/Env/index.ts:66,1,src/service/Api/Env/index.ts
POST,/rest/quality/a/{appId}/testwire/param/preview,${QUALITY_URL(aid)}/testwire/param/preview,src/service/Api/ApiDefinition/index.ts:193,1,src/service/Api/ApiDefinition/index.ts
POST,/rest/quality/a/{appId}/uiStep,${uiStepScoped(appId)},src/service/Api/PlayWright/api.ts:22,1,src/service/Api/PlayWright/api.ts
POST,/rest/quality/a/{appId}/uiStep/getBySelector/:param,${uiStepScoped(appId)}/getBySelector/${selectorId},src/service/Api/PlayWright/api.ts:73,1,src/service/Api/PlayWright/api.ts
PUT,/plugin/api/setting,/plugin/api/setting,src/service/Api/Local/index.ts:34,1,src/service/Api/Local/index.ts
PUT,/rest/quality/a/{appId}/api/case/exec,${CASE_URL(aid)}/exec,src/service/Api/ApiCase/index.ts:12,1,src/service/Api/ApiCase/index.ts
PUT,/rest/quality/a/{appId}/api/case/rename,${CASE_URL(aid)}/rename,src/service/Api/ApiCase/index.ts:95,1,src/service/Api/ApiCase/index.ts
PUT,/rest/quality/a/{appId}/api/case/update,${CASE_URL(aid)}/update,src/service/Api/ApiCase/index.ts:59,1,src/service/Api/ApiCase/index.ts
PUT,/rest/quality/a/{appId}/api/common/follow,${QUALITY_URL(aid)}/api/common/follow,src/service/Api/Global/index.ts:38,1,src/service/Api/Global/index.ts
PUT,/rest/quality/a/{appId}/api/scenario/:param/runtimeSetting,${scope(option.appId)}/${option.scenarioId}/runtimeSetting,src/service/Api/TestScenario/runtimeSetting.ts:33,1,src/service/Api/TestScenario/runtimeSetting.ts
PUT,/rest/quality/a/{appId}/api/scenario/:param/step/:param,${scope(options.appId)}/api/scenario/${options.scenarioId}/step/${options.stepId},src/service/Api/TestScenario/detail.ts:82,2,src/service/Api/TestScenario/detail.ts | src/service/Api/TestScenario/step.ts
